id,canonical_title,concentration,type,description,main_accords,top_notes,middle_notes,base_notes,pros,cons
LW70324,LOEWE A Mi Aire,unknown,female,"LOEWE A Mi Aire, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",citrus; woody; fresh spicy; aromatic; green; floral; musky; white floral; powdery; warm spicy,Bergamot; Mandarin Orange; Tangerine; Clove,Tea; Jasmine; Rose; Pepper; Carnation,Hinoki Wood; Cedar; Musk; Moss,"Fresh and clean sensation | Unique and refreshing scent | Good for hot summer days | Breezy mix of citrus and green grass | Perfect for spring | Uplifting and energizing mood booster | Soothing woodsy base | Elegant, chic, and sophisticated fresh scent | Unique Mediterranean vibe with hinoki wood",Longevity varies significantly between users | Citrus notes can be too sharp or peppery at first | May lean too masculine or cologne-like | Sharp opening might feel slightly synthetic
LW80705,LOEWE Agua Drop EDP,edp,female,"Refreshing and floral, LOEWE Agua Drop EDP combines the rich, warm aroma of the new LOEWE Accord with notes of bergamot and orange flower absolute to create a fresh, fruity and woody ambery fragrance.",citrus; white floral; fresh spicy; aromatic; amber,Bergamot; Orange Blossom; Labdanum; Leather,,,"Excellent for high heat and summer days | Refined clean aesthetic for professional settings | Unique herbal character from absinthe accord | Versatile unisex profile for most occasions | Impressive longevity on clothing and fabrics | Smooth, warm, and sophisticated drydown | Outperforms many luxury citrus competitors | Refreshing, bubbly, and energizing opening | Sophisticated and modern aromatic structure | Crisp, high-quality bergamot and citrus notes","Fleeting longevity on certain skin types | Opening resembles synthetic lemon cleaning spray | Misleading name; lacks aquatic or watery notes | Conflicting gender leanings confuse potential buyers | Underwhelming value for the luxury price point | Sharp, screechy opening is too aggressive | Linear profile lacks depth and evolution | Polarizing, dry, and scratchy vetiver base | Quickly becomes a faint skin scent | Expensive for a simple citrus-forward scent"
LW82471,LOEWE Agua Drop x Lladró,unknown,female,"This limited-edition flask of LOEWE Agua Drop EDP has been created in collaboration between LOEWE Perfumes and Spanish ceramics brand, LLADRÓ. ​ The signature LOEWE block-shaped flask is crafted in blue glass, topped by a handcrafted, porcelain flower cap hand-painted in blue, with a pale green calyx.​",citrus; white floral; fresh spicy; sweet; soapy,Orange Blossom; Bergamot,,,,
LW66433,LOEWE Agua EDT,edt,unisex,"LOEWE Agua EDT, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",citrus; floral; green; aquatic; powdery; white floral; musky; marine; fresh; aromatic,Kumquat; Yuzu,Lotus; Lily-of-the-Valley,Matcha Tea; White Musk; Seaweed,,
LW68239,LOEWE Agua Ella,unknown,,"LOEWE Agua Ella, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",,,,,,
LW66518,LOEWE Agua Mar de Coral,unknown,unisex,"LOEWE Agua Mar de Coral, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",citrus; aromatic; fresh spicy; green; white floral,Lemon; Pomelo; Tomato Leaf; Yuzu; Grapefruit; Mandarin Orange; Mint,Neroli; Lily-of-the-Valley; Jasmine,Musk; Cedar; Vanilla; Amber,Refreshing zesty citrus opening | Provides non-cloying aquatic freshness | Great for casual vacation wear | Soft and creamy floral dry down | Evokes nostalgic 1990s aquatic scents | Unique realistic tomato leaf note | Versatile and balanced unisex appeal | Clean soapy professional vibe | Beautiful and artistic bottle design | Perfect for hot summer days,Poor longevity fades within minutes | Sweetness feels inconsistent with citrus | May develop fishy or metallic notes | Generic profile resembles cheaper alternatives | Fragrance can turn acrid over time | Low projection stays close to skin | Leans feminine despite unisex marketing | Sharp overly acidic initial burst | Dries down to baby wipe scent | High price for limited performance
LW78276,LOEWE Aire Anthesis,unknown,unisex,"LOEWE Aire Anthesis Eau de Parfum is the first fragrance in the Botanical Rainbow to feature the exclusive ‘LOEWE Accord’— a newly created olfactory note crafted by our in-house nose, Nuria Cruelles, to express LOEWE’s unique identity. LOEWE Aire is a family of fragrances, inspired by the fresh and pure air all around us—elemental, uplifting and life-giving.",fresh; white floral; floral; green; fruity; sweet; amber; woody; rose,,,,"Clean, fresh, and watery scent profile | Pleasant floral and sandalwood dry down | Excellent for spring and summer daytime | Invigorating tart pear and rhubarb notes | Memorable trail for those nearby | High-quality niche-like composition | Naturalistic, outdoorsy, and airy vibe | Unique and original herbal-green character | Versatile enough for year-round use | Office-safe and professional for daily wear","Leans significantly feminine rather than unisex | Underwhelming projection after the initial opening | Mature or dated scent profile | Off-putting saliva-like sour note | Headache-inducing sweetness in some conditions | Stale, swampy, or stagnant water facets | Sharp, metallic, or overly sour dry down | Generic laundry detergent or deodorant smell | Poor longevity, fading after two hours | High price point for the value"
LW70225,LOEWE Aire EDT,edt,female,"LOEWE Aire EDT, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",green; citrus; aromatic; fresh; fresh spicy; woody; white floral; aldehydic; floral; earthy,Aldehydes; Green Notes; Galbanum; Citruses; Marigold; Basil; Bergamot; Petitgrain; Lemon; Neroli; Jasmine; Ylang-Ylang; Asafoetida; Tangerine; Mandarin Orange; Peach,Lily-of-the-Valley; Jasmine; Iris; Carnation; Orris Root; Rose; Cyclamen; Incense; Amber,Oakmoss; Vetiver; Musk; Sandalwood; Cedar; Vanilla,"Ideal for hot summer Mediterranean climates | Versatile for office and everyday wear | Unisex appeal for modern wearers | Classic, sophisticated Spanish vibe | Clean, fresh, and soapy aroma | Lasts 6+ hours on skin | Sophisticated, elegant green-floral profile | Uplifting and refreshing character | Strong projection and sillage | Unique and complex note composition","Overwhelming, dense oakmoss and aldehydes | Limited availability outside of Spain | Performance varies greatly with body chemistry | Prominent, dated vintage aesthetic | Harsh, bitter, or medicinal notes | Overly powdery and mature dry down | Smells like industrial soap or cleanser | Sharp, alcoholic, or antiseptic opening | Austere and cold personality | Prickly in extreme temperature shifts"
LW70379,LOEWE Aire Sutileza,unknown,female,"LOEWE Aire Sutileza, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",fruity; white floral; citrus; fresh; floral; sweet; musky; green; aquatic; powdery,Pear; Calabrian Mandarin; Red Currant,Lily-of-the-Valley; Magnolia; Egyptian Jasmine,Musk; Haitian Vetiver; Sandalwood,"Fresh, clean, soapy aroma | Delicate, high-quality white florals | Versatile for daily casual wear | Elegant, sophisticated minimalist profile | Realistic juicy pear opening | Uplifting and joyful character | Impressive longevity on clothes | High compliment factor from strangers | Professional, office-safe signature scent | Ideal for spring and summer",Overpriced for a simple scent | Potential to cause respiratory irritation | Lacks depth and unique personality | Bland and uninspired bottle design | Fades quickly; requires constant reapplication | Weak projection; stays near skin | Synthetic and artificial floral profile | Smells like generic wet wipes | Unpleasant cat-pee or ammonia undertones | Can smell sharp or masculine
LW64064,LOEWE Aura Pink Magnolia,unknown,female,"LOEWE Aura is a family of fragrances inspired by the aura of an inspiring muse: illuminating, generous and extrovert. Fragrances to illuminate.",floral; fruity; musky; powdery; citrus; woody; sweet; fresh,Magnolia; Red Fruits; Musk; Sandalwood,,,High essential oil concentration ensures excellent longevity | Perfect for romantic occasions | White musk and sandalwood notes | Musk tickles the nose like champagne bubbles | Honeyed magnolia scent | Consistent linear scent without traditional development | Uplifting 'Barbie-core' bubblegum and berry character | Luxurious bottle features real gold brushstrokes,"Not unisex, more feminine in nature | Too sweet and cloying | Polarizing association with scented feminine hygiene products | Can be headache-inducing due to high potency | Synthetic red fruit notes can smell medicinal | Not much like magnolia"
LW64019,LOEWE Aura White Magnolia,unknown,female,"LOEWE Aura is a family of fragrances inspired by the aura of an inspiring muse: illuminating, generous and extrovert. Fragrances to illuminate.",sweet; citrus; floral; vanilla; caramel; powdery,Cotton Candy; Magnolia; Vanilla; Yuzu,,,"Elegant, sophisticated, and feminine character | Versatile for daily wear across seasons | Modern, high-end take on white florals | Rich, creamy floral gourmand profile | Smooth blend of citrus and sugary vanilla | Contains high-quality natural essential oils | Frequent and reliable compliment getter | Long-lasting performance on skin and clothes | Strong projection and noticeable sillage","Short shelf life with potential to spoil | Overly sweet and cloying in heat | Triggers headaches for scent-sensitive users | Reminiscent of cheaper mass-market fragrances | Heavy opening can be overwhelming | Artificial, screechy, or synthetic undertones | Linear development lacking scent complexity | High price point for simple composition | Generic and unoriginal scent profile"
LW85540,LOEWE Bittersweet Oud EDP,edp,unisex,"LOEWE Bittersweet Oud is part of the LOEWE Crafted Collection: Opulent and enigmatic, Bittersweet Oud explores the mystical richness of oud, amplifying its resinous, woody depth through a vibrant interplay of contrasts.",earthy; citrus; oud; woody; powdery; fresh; warm spicy; fresh spicy,Earthy Notes; Bitter Orange; Oud; Sandalwood,,,,
LW75688,LOEWE Earth EDP,edp,unisex,"LOEWE Earth EDP is the first in a new family of fragrances to join the Botanical Rainbow, unifying the collection&rsquo;s kaleidoscope of colour with its vibrant mauve bottle. LOEWE Earth is inspired by the elements that connect nature, propelling life above and below the ground, from the atmospheric to the tangible, the visible to the invisible, unifying inner and outer worlds.",powdery; violet; yellow floral; sweet; fruity; floral; earthy; fresh; aromatic; aquatic,,,,"Unique, sophisticated unisex scent profile | Versatile across different styles and genders | Fresh, watery, and bright opening | Artistic and non-commercial fragrance development | Perfect for rainy autumn and spring | Lasts up to 10 hours on skin | Comforting, cozy, and relaxing aura | Realistic, juicy pear and violet notes | Clean, soapy, high-end spa vibe | Elegant and professional office-safe choice",Truffle note is difficult to detect | Smells like generic men's shower gel | Overpriced for the actual performance | Intimate projection and low sillage | Extremely poor longevity for many users | Misleading name; lacks prominent earthy notes | Generic masculine dry down on skin | Triggers headaches for sensitive users | Boring and unremarkable scent profile | Polarizing bitter or moldy undertones
LW80675,LOEWE Earth Elixir,elixir,unisex,"Expansive and contemporary, LOEWE Earth Elixir reinterprets and amplifies the original LOEWE Earth EDP with a higher, more resonant concentration of essential oils. The scent reveals floral, ambery and musky notes of truffle, pear and oud combined with elemi, mimosa and violet, underlined by the rich, raw and authentic aspects of the LOEWE Accord—a new note based on the complex, resinous scent of the Spanish Rockrose wildflower—LOEWE’s fragrant DNA.",powdery; violet; fruity; sweet; yellow floral; floral; earthy; fresh; oud; aquatic,Pear; Truffle; Oud,Violet; Mimosa; elemi,Cistus Incanus,Unique and addictive earthy-floral DNA | Sophisticated and professional office scent | True unisex appeal for all genders | Powerhouse longevity and projection | High-quality natural floral notes | Addictive and comforting scent profile | Distinctive blend of truffles and pear | Elegant and mysterious scent trail | Highly versatile for most seasons | Superior performance compared to Gris Dior,Conflicting perceptions of scent notes | Becomes a skin scent too quickly | Lacks impact for clubbing environments | Unsuitable for hot summer weather | Opening can feel sharp or acidic | Inconsistent longevity reports between users | Polarizing damp earth and mushroom notes | High price point for the volume | Drydown less impressive than the opening | Synthetic violet nuances for some
LW82488,LOEWE Earth x Lladró,unknown,unisex,"This limited-edition flask of LOEWE Earth EDP has been created in collaboration between LOEWE Perfumes and Spanish ceramics brand, Lladró. The signature LOEWE block-shaped flask is crafted in mauve glass, topped by a handcrafted, porcelain flower cap, hand-painted in pink, with a pale green calyx.",violet; powdery; earthy; aromatic; fruity; floral; sweet; fresh; balsamic; yellow floral,Truffle; Violet; Elemi; Pear; Mimosa,,,,
LW75732,LOEWE Esencia EDP,edp,female,"LOEWE Esencia is a family of fragrances inspired by DNA, the code of life a pattern that defines each of us as individual universal yet unique.",citrus; floral; powdery; musky; rose; woody; warm spicy; sweet; green; fresh spicy,Grapefruit; Ginger; Bergamot; Lemon,Pansy; Rose; Lotus; Lily-of-the-Valley,Musk; Rose; Woody Notes,,
LW77439,LOEWE Esencia EDT,edt,female,"LOEWE Esencia EDT, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",citrus; floral; powdery; musky; rose; woody; warm spicy; sweet; green; fresh spicy,Grapefruit; Ginger; Bergamot; Lemon,Pansy; Rose; Lotus; Lily-of-the-Valley,Musk; Rose; Woody Notes,,
LW76234,LOEWE Esencia Elixir,elixir,male,"LOEWE Esencia Elixir EDP expands on the original LOEWE Esencia EDP fragrance with a higher concentration of essential oils that leave a resonant trail in their wake. Singular and robust, LOEWE Esencia Elixir EDP blends woody notes with herbs and smoky leather for a captivating impression. Its aromatic scent includes notes of patchouli, vetiver and amber.",woody; patchouli; earthy; amber; aromatic; warm spicy; balsamic,Patchouli; Vetiver; Amber,,,"Refined green and smoky character | Excellent pressurized atomizer | Strong performance in cold weather | Sophisticated, darker masculine profile | Versatile signature for most seasons | High-quality ingredients and natural feel | Elegant, professional office fragrance | Stays on clothing for days | Powerful, room-filling projection","Overpriced retail price | Screechy, synthetic pine aroma | Aggressive and unrefined character | Linear development lacking subtlety | Headache-inducing scent profile | Sharp, pungent saffron note | Cloying if applied heavily | Redundant for Aventus clone owners | Harsh, synthetic chemical opening | Lacks originality or creativity"
LW85595,LOEWE Iris Root EDP,edp,unisex,"LOEWE Iris Root is part of the LOEWE Crafted Collection: Powdery and nuanced, Iris Root explores the hidden beauty of the iris rhizome, known for its creamy smoothness and poised elegance.",iris; powdery; earthy; violet; fresh spicy,Timur; Angelica,Orris Root; Iris,,,
LW80101,LOEWE Paula's Ibiza Cosmic,unknown,unisex,"LOEWE Paula’s Ibiza Cosmic is a fruity, woody and ambery Eau de Parfum for men and women, created by LOEWE's in-house perfumier, Nuria Cruelles.",woody; amber; fruity; tropical; sweet; coconut; powdery; balsamic,Mango; Coconut; Sandalwood; Amber; Pear; Resin; Cedarwood; Cypress; Spanish Labdanum,,,"Authentic, juicy ripe mango note | Attractive bottle and presentation | Smooth, non-cloying sweetness | Affordable alternative to expensive niche fragrances | Versatile for both warm and cool weather | Unique fruity profile without salty notes | Perfect relaxed beach and vacation scent | Receives many compliments from others | Creamy tropical coconut and sandalwood drydown | Long-lasting, 8+ hours on skin","Inconsistent longevity; performance varies significantly | Divisive profile; not a safe blind buy | Reminiscent of generic drugstore body sprays | Mango and coconut notes sometimes imperceptible | Linear development feels boring to some | Perceived as overpriced for the quantity | Causes quick olfactory fatigue or nose blindness | Leans feminine, especially in the opening | Sandalwood note may smell like pickle juice | Initial spray smells synthetic or like shampoo"
LW75909,LOEWE Paula's Ibiza Eau de Toilette,edt,unisex,"A floral, acquatic and ambery Eau de Toilette for men and women, created by Jonathan Anderson and LOEWE’s in-house perfumer Nuria Cruelles.",woody; green; coconut; balsamic; amber; citrus; tropical; marine; aromatic; lactonic,Galbanum; Coconut; Mandarin Orange,Driftwood; Frangipani; Narcissus,Ambergris; Patchouli; Bourbon Vanilla,"Unisex | Gorgeous packaging and bottle | Tropical without being trite | Unique and evocative summer atmospheric scent | Excellent longevity and performance for an EDT | Fresh, earthy green and woody profile | Linear with a whole new smell | Niche quality scent at designer price point | Realistic coconut water, not typical sunscreen","May not fit everyone's skin | Vegetal opening can resemble green peppers | Earthy notes may smell damp or swampy | Bodily, salty-skin facets can smell like sweat | Highly polarizing; not a safe blind buy | Performance varies significantly between users | Prominent galbanum may be too sharp for some"
LW71888,LOEWE Paula's Ibiza Eclectic,unknown,unisex,"Body lotion from the Paula’s Ibiza range, with a refreshing feel, made to infuse your bathing ritual with Balearic fragrance. Featuring natural ingredients with skin-hydrating properties, this lotion perfumes the body with the floral, woody and gourmand scent of Eclectic. Apply liberally and allow to sink in for fragrant, fresh and summer-ready skin.",white floral; sweet; woody; citrus; yellow floral; vanilla; coconut; powdery; warm spicy; amber,Mandarin Orange; Pepper,Ylang-Ylang; Jasmine Sambac; Orange Blossom; Coconut; Incense; Olibanum,Australian Sandalwood; Vanilla; Musk,"Uplifting and great for summer | Unique blend of spicy, floral, and resinous notes | Creamy and smooth sandalwood | Unique and stands out | Unisex | Great for those who don't like fresh or super sweet fragrances | Juicy with hints of orange, orange blossom, and jasmine sambac | Exceptional longevity for an Eau de Toilette | Creamy lotion-like texture without typical sunscreen clichés","Not as coconutty as some may expect | Less green than the original Paula's Ibiza fragrance | Slight incense note might not be enough for those who like stronger incense scents | Dries down to a vintage, powdery makeup scent | Indolic jasmine and heavy ylang may polarize | Noticeable, sharp black pepper in the opening"
LW85564,LOEWE Roasted Vanilla EDP,edp,unisex,"LOEWE Roasted Vanilla is part of the LOEWE Crafted Collection: Sensual and addictive, Roasted Vanilla reveals the alluring complexity of vanilla, whose warmth and creaminess are deepened and grounded by oakwood.",woody; vanilla; sweet; warm spicy; soft spicy,Cognac; Vanilla; Oak; Pink Pepper,,,,
LW70546,LOEWE Solo Cedro,unknown,male,"LOEWE Solo Cedro, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",,Mandarin Orange; Pink Pepper,Lavender; Nutmeg,Cedar; Benzoin,Fresh with woody dry down | Woody and spicy | Soft but long lasting | Versatile for office and professional settings | Pleasant sweet tone | Liked by significant others | Excellent value when found at discounters | Elegant blend of natural-smelling cedar and mandarin | Sophisticated and mature gentlemanly character,Moderate sillage; sits closer to the skin | Sharp or medicinal opening for some | Familiar scent profile lacks creative uniqueness | Strong similarities to original Solo and Terre d’Hermès | Polarizing bottle redesign compared to original | Synthetic smell to some noses
LW70461,LOEWE Solo EDT,edt,male,"LOEWE Solo EDT, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",citrus; fresh spicy; aromatic; woody; fruity; lavender; musky; soft spicy; sweet; fresh,Mandarin Orange; Guava; Lavender; Lemon; Bergamot; Cashmirwood; Rosemary; Patchouli; Thyme; Costus,Pink Pepper; Tangerine; Cinnamon; Aldehydes; Nutmeg; Mint; Caraway; Anise,Woodsy Notes; Amber; Musk; Vanilla; Oakmoss,,
LW83409,LOEWE Solo Elixir,elixir,male,"Balanced and contemporary, the LOEWE Solo Elixir EDP reinterprets and amplifies the original LOEWE Solo fragrance with a higher, more resonant concentration of essential oils. LOEWE Solo Elixir reveals aromatic, floral and ambery notes of lavender, jasmine sambac, mandarin and orris combined with nutmeg, cinnamon, olibanum and patchouli.",amber; fresh spicy; iris; aromatic; lavender; warm spicy; citrus; powdery; woody; earthy,Lavender; Mandarin; Jasmine Sambac,Orris; Nutmeg; Cinnamon,Olibanum; Tarragon; Labdanum; Benzoin; Patchouli,Modern woody-musk drydown | Modern update to original DNA | Suitable for day and night | Complex incense and chocolate notes | High-quality blending and ingredients | Balanced and non-overwhelming iris | Reliable 6-7 hour longevity | Unique darker facets | Versatile for year-round wear | Masculine and mature character,"Polarizing and unconventional profile | Strays too far from original EDT | Disappointing performance for an Elixir | Not a safe blind buy | Unpleasant indolic jasmine | Weak projection after 15 minutes | Off-putting wet laundry undertones | Dry, bitter pencil-shaving scent | Harsh, medicinal alcoholic opening | Expensive for the performance offered"
LW68482,LOEWE Solo Ella EDP,edp,female,"LOEWE Solo Ella EDP, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",,Apple; Peach; Pear; Bitter Orange,Jasmine Sambac; Orange Blossom; Green Tea; Heliotrope; Violet; Damask Rose,White Woods; Amber; Virginian Cedar,Wonderful feminine white floral scent | Sweet without being overly sweet | Durable with good trail | Powerful yet clean scent | Classy and elevated spalike vibe | Realistic fruit notes | Refreshing bubbly opening | Bright and cheerful jasmine,Some might find the tea note too subtle | Can be overpowering if oversprayed | Feminine fragrance may not be suitable for all genders | Might not be suitable for colder seasons | Might cause migraines for some | Not very unique or special | Fruity notes may not be preferred by everyone | May not have a long-lasting projection on others
LW69519,LOEWE Solo Ella EDT,edt,female,"LOEWE Solo Ella EDT, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",,Apple; Peach; Pear; Bitter Orange,Jasmine Sambac; Orange Blossom; Green Tea; Heliotrope; Violet; Damask Rose,White Woods; Amber; Virginian Cedar,Wonderful feminine white floral scent | Sweet without being overly sweet | Durable with good trail | Powerful yet clean scent | Classy and elevated spalike vibe | Realistic fruit notes | Refreshing bubbly opening | Bright and cheerful jasmine,Some might find the tea note too subtle | Can be overpowering if oversprayed | Feminine fragrance may not be suitable for all genders | Might not be suitable for colder seasons | Might cause migraines for some | Not very unique or special | Fruity notes may not be preferred by everyone | May not have a long-lasting projection on others
LW76227,LOEWE Solo Ella Elixir,elixir,female,"LOEWE Solo Ella Elixir EDP expands on the original LOEWE Solo Ella EDP scent, with a higher concentration of essential oils that leave a resonant trail in their wake. Transgressive and modern, LOEWE Solo Ella Elixir EDP reveals delicate notes that combine floral accords with spices and woods. Its fruity floral scent includes notes of pear, tuberose, sandalwood and musk.",tuberose; white floral; woody; fruity; sweet; musky; warm spicy; powdery; aquatic; animalic,Tuberose; Pear,Spices; Woodsy Notes,Musk; Sandalwood,"Ideal for summer nights and spring | Calming and mood-lifting fragrance | Modern, unisex-leaning character | Smooth, creamy sandalwood base | Versatile for office, dates, and everyday | Sophisticated, well-blended fruity-floral composition | Refreshing and juicy pear opening | Unique spicy and smoky undertones | High-quality, elegant Loewe packaging | Frequently garners compliments from others | Strong projection and noticeable scent trail","Fades to skin scent quickly for some | Lacks original or groundbreaking character | Sharp, aggressive tuberose note | High price tag for the performance | Linear scent profile lacks depth | Inconsistent longevity reported by some users | Can become overwhelming in high heat | Overly sweet and potentially cloying | Mature floral profile best for 30+ | Occasional medicinal syrup vibe"
LW80644,LOEWE Solo Vulcan EDP,edp,male,"Aromatic and singular, LOEWE Solo Vulcan EDP combines the rich, warm aroma of the new LOEWE Accord with notes of thyme, lavender, orange flower absolute and vetiver to create a balsamic, woody, herbal and fresh fragrance.",aromatic; white floral; lavender; amber; fresh spicy; citrus; woody; sweet; herbal; musky,,Orange Blossom; Lavender; Thyme; Labdanum; Vetiver,,"Unique, niche-quality artistic composition | Excellent longevity, lasting up to 9 hours | Distinctive, original alternative to mainstream trends | Ideal for spring and mild summer days | Evocative Mediterranean herbal and balsamic character | Perfectly balanced unisex profile | Engaging evolution from floral to resinous base | High-quality natural floral and herbal notes | Highly versatile for daily and office wear | Strong projection and noticeable sillage","Sharp soapy or acidic notes can sting | Becomes cloying and intolerable if oversprayed | Not a safe blind buy candidate | Divisive and potentially offensive scent profile | Harsh, synthetic, or suffocating opening | Overpriced for a designer-market fragrance | Lacks original Solo line DNA | Unpleasant dusty or musty earthy undertones | Performance varies significantly between users | Aggressive sweetness unsuitable for high heat | Mature, old-school barbershop vibe for some"
LW83515,LOEWE Un Paseo Por Madrid 'Casa de Campo',unknown,,"Evocative and enchanting, LOEWE Un Paseo por Madrid Casa de Campo pays tribute to the Casa de Campo park, once a royal hunting estate, now a verdant oasis for all Madrilenians. Abundant with natural beauty, trees, water and wildlife, it is a beloved space for rest and relaxation. The fragrance features floral, woody and musky notes of artemisia and sandalwood, underlined by the resinous complexity of the LOEWE Accord.",,,,,,
LW81702,LOEWE Un Paseo Por Madrid 'Debod',unknown,,"Mysterious and exotic, LOEWE Un Paseo Por Madrid Debod is inspired by Madrid’s atmospheric Templo de Debod—an Ancient Egyptian temple rebuilt in the Cuartel de la Montaña park. The floral, ambery and woody fragrance features notes of rose, oud and saffron.",,,,,,
LW79761,LOEWE Un Paseo Por Madrid 'Doré',unknown,unisex,"Evocative and compelling, LOEWE Un Paseo por Madrid Doré is inspired by archive screenings at Madrid’s iconic, modernist Doré cinema. The fragrance features floral, aromatic and woody notes of patchouli and vainilla.",vanilla; amber; warm spicy; woody; rose; patchouli; sweet; balsamic; fresh spicy; powdery,Rose; Orange Blossom,Vanilla; Nutmeg; Cinnamon,Patchouli; Tonka Bean; Woody Notes; Benzoin; Amber,,
LW81627,LOEWE Un Paseo Por Madrid 'La Bella Cibeles',unknown,,"Delicate and sparkling, LOEWE Un Paseo por Madrid La Bella Cibeles is inspired by the sculptural fountain at Madrid’s Plaza de Cibeles. The fragrance features notes of rose, iris, vanilla and musk.",,,,,,
